Date,Open,High,Low,Close,Adj Close,Volume,Date,Year,Month,Day
26-03-2019,9431.900391,9522.450195,9421.599609,9512.599609,9512.586914,14751200,26-03-2019,2019,3,26
27-03-2019,9552.200195,9569.599609,9475.400391,9501.799805,9501.787109,15642600,27-03-2019,2019,3,27
28-03-2019,9518.700195,9613.549805,9510.799805,9601.950195,9601.9375,18825500,28-03-2019,2019,3,28
01-04-2019,9703,9756.299805,9683.950195,9702,9701.987305,15815900,01-04-2019,2019,4,1
02-04-2019,9735.049805,9735.049805,9681.599609,9720.799805,9720.787109,16133100,02-04-2019,2019,4,2
03-04-2019,9742.349609,9765.650391,9647.200195,9658.400391,9658.387695,14716800,03-04-2019,2019,4,3
04-04-2019,9674,9675.200195,9590.849609,9626.650391,9626.637695,15094000,04-04-2019,2019,4,4
05-04-2019,9659.650391,9700.400391,9641.450195,9684.950195,9684.9375,12569300,05-04-2019,2019,4,5
08-04-2019,9715.450195,9719.950195,9593.849609,9634.400391,9634.387695,13681900,08-04-2019,2019,4,8
09-04-2019,9641.900391,9685.849609,9594.950195,9677.75,9677.737305,11975800,09-04-2019,2019,4,9
10-04-2019,9661.549805,9690.349609,9612.849609,9622.950195,9622.9375,12314300,10-04-2019,2019,4,10
11-04-2019,9630.150391,9641.75,9599.200195,9634.549805,9634.537109,11765200,11-04-2019,2019,4,11
12-04-2019,9646.599609,9682.299805,9626.950195,9674.599609,9674.586914,12478400,12-04-2019,2019,4,12
15-04-2019,9697.650391,9726.849609,9683.799805,9716.5,9716.487305,12877700,15-04-2019,2019,4,15
16-04-2019,9751.349609,9796.099609,9748.700195,9781.400391,9781.387695,13416700,16-04-2019,2019,4,16
18-04-2019,9826.450195,9826.450195,9721.400391,9738.700195,9738.6875,14380900,18-04-2019,2019,4,18
22-04-2019,9715.950195,9715.950195,9591.799805,9599.799805,9599.787109,11241100,22-04-2019,2019,4,22
23-04-2019,9614.849609,9642.150391,9577,9587.299805,9587.287109,12335800,23-04-2019,2019,4,23
24-04-2019,9607.400391,9696.549805,9585.25,9687.549805,9687.537109,12882000,24-04-2019,2019,4,24
25-04-2019,9697.799805,9742.849609,9616.299805,9628.799805,9628.787109,16547600,25-04-2019,2019,4,25
26-04-2019,9661.099609,9695.400391,9632.049805,9689.700195,9689.6875,12423000,26-04-2019,2019,4,26
30-04-2019,9684.799805,9684.799805,9592.150391,9664.299805,9664.287109,15989700,30-04-2019,2019,4,30
02-05-2019,9646.400391,9694.950195,9620.700195,9637.5,9637.487305,14517900,02-05-2019,2019,5,2
03-05-2019,9637.5,9665.5,9613.599609,9624.549805,9624.537109,11949900,03-05-2019,2019,5,3
06-05-2019,9544.950195,9567.400391,9513.849609,9532.450195,9532.4375,11324300,06-05-2019,2019,5,6
07-05-2019,9573.299805,9578.549805,9441.5,9450.799805,9450.787109,12938900,07-05-2019,2019,5,7
08-05-2019,9433.099609,9433.450195,9331.700195,9340.25,9340.237305,14854400,08-05-2019,2019,5,8
09-05-2019,9313.549805,9339.549805,9261.5,9299.75,9299.738281,13325900,09-05-2019,2019,5,9
10-05-2019,9309.349609,9335.150391,9271.099609,9290.200195,9290.188477,14103600,10-05-2019,2019,5,10
13-05-2019,9274.049805,9288.849609,9143.950195,9159.950195,9159.938477,14485500,13-05-2019,2019,5,13
14-05-2019,9156,9261.849609,9108.450195,9212.349609,9212.337891,16104600,14-05-2019,2019,5,14
15-05-2019,9247.150391,9265.650391,9145.799805,9160.099609,9160.087891,13544400,15-05-2019,2019,5,15
16-05-2019,9176.5,9238.950195,9136.400391,9221.650391,9221.638672,12882200,16-05-2019,2019,5,16
17-05-2019,9224.75,9339.349609,9221.599609,9329.700195,9329.6875,14013000,17-05-2019,2019,5,17
20-05-2019,9538.299805,9681.099609,9485.849609,9671.900391,9671.887695,17608200,20-05-2019,2019,5,20
21-05-2019,9701,9713.5,9556.75,9578.849609,9578.836914,13575700,21-05-2019,2019,5,21
